"year","bacode","deaths_nhblack","deaths_nhwhite","deaths_hisp","deaths_con","deaths_neo","deaths_total","expcat","deaths_otherraceeth","deaths_nonneo","deaths_noncon"
1999,1,1153,1593,81,541,1786,2895,"exp",68,1109,2354
2000,1,1213,1606,107,574,1918,3007,"exp",81,1089,2433
2001,1,1170,1558,113,551,1874,2934,"exp",93,1060,2383
2002,1,1221,1690,158,616,2016,3169,"exp",100,1153,2553
2003,1,1093,1627,152,557,1892,2950,"exp",78,1058,2393
2004,1,1138,1591,147,538,1853,2956,"exp",80,1103,2418
2005,1,1177,1625,186,560,1908,3098,"exp",110,1190,2538
2006,1,1265,1598,185,591,1967,3151,"exp",103,1184,2560
2007,1,1236,1640,182,601,1947,3159,"exp",101,1212,2558
2008,1,1197,1633,201,565,1925,3125,"exp",94,1200,2560
2009,1,1121,1535,199,570,1816,2933,"exp",78,1117,2363
2010,1,918,1386,169,513,1466,2542,"exp",69,1076,2029
2011,1,976,1323,163,506,1623,2555,"exp",93,932,2049
2012,1,899,1323,170,480,1576,2515,"exp",123,939,2035
2013,1,953,1335,177,516,1618,2565,"exp",100,947,2049
2014,1,974,1343,167,511,1667,2599,"exp",115,932,2088
2015,1,999,1303,188,497,1600,2597,"exp",107,997,2100
2016,1,1002,1392,193,517,1650,2694,"exp",107,1044,2177
2017,1,955,1262,198,524,1553,2527,"exp",112,974,2003
2018,1,894,1183,182,485,1455,2368,"exp",109,913,1883
2019,1,921,1085,217,444,1458,2313,"exp",90,855,1869
2020,1,837,1098,186,453,1358,2196,"exp",75,838,1743
2021,1,827,1084,197,438,1285,2260,"exp",152,975,1822
2022,1,798,1070,213,412,1274,2235,"exp",154,961,1823
2023,1,840,1035,233,451,1352,2286,"exp",178,934,1835
1999,2,1203,1593,86,570,1941,2950,"exp",68,1009,2380
2000,2,1230,1615,121,619,1970,3031,"exp",65,1061,2412
2001,2,1160,1584,128,592,1892,2952,"exp",80,1060,2360
2002,2,1159,1591,147,574,1941,2991,"exp",94,1050,2417
2003,2,1180,1576,183,552,1907,3046,"exp",107,1139,2494
2004,2,1179,1603,161,599,1888,3034,"exp",91,1146,2435
2005,2,1120,1580,200,551,1908,3000,"exp",100,1092,2449
2006,2,1240,1586,226,629,2011,3163,"exp",111,1152,2534
2007,2,1255,1614,186,578,1956,3162,"exp",107,1206,2584
2008,2,1169,1553,210,600,1837,3003,"exp",71,1166,2403
2009,2,1128,1385,186,530,1686,2792,"exp",93,1106,2262
2010,2,965,1421,167,531,1587,2647,"exp",94,1060,2116
2011,2,972,1323,167,532,1591,2561,"exp",99,970,2029
2012,2,922,1400,173,550,1679,2591,"exp",96,912,2041
2013,2,956,1346,192,520,1651,2572,"exp",78,921,2052
2014,2,987,1295,186,557,1595,2559,"exp",91,964,2002
2015,2,1020,1308,188,531,1622,2614,"exp",98,992,2083
2016,2,985,1268,211,573,1562,2559,"exp",95,997,1986
2017,2,941,1187,198,527,1510,2435,"exp",109,925,1908
2018,2,894,1194,186,524,1511,2354,"exp",80,843,1830
2019,2,916,1122,205,503,1471,2330,"exp",87,859,1827
2020,2,815,1032,201,456,1283,2134,"exp",86,851,1678
2021,2,767,1055,203,440,1284,2206,"exp",181,922,1766
2022,2,842,1125,234,448,1383,2358,"exp",157,975,1910
2023,2,835,992,250,442,1358,2257,"exp",180,899,1815
1999,1,2786,4907,1716,1938,6749,9984,"unexp",575,3235,8046
2000,1,2848,4854,1759,2033,6909,10077,"unexp",616,3168,8044
2001,1,2776,4757,1730,1897,6544,9818,"unexp",555,3274,7921
2002,1,2711,4763,1790,1957,6699,9803,"unexp",539,3104,7846
2003,1,2629,4615,1929,1965,6684,9703,"unexp",530,3019,7738
2004,1,2601,4541,1912,1992,6542,9647,"unexp",593,3105,7655
2005,1,2650,4644,2079,2028,6580,9928,"unexp",555,3348,7900
2006,1,2670,4469,2064,2002,6613,9753,"unexp",550,3140,7751
2007,1,2707,4571,2233,2000,6791,10100,"unexp",589,3309,8100
2008,1,2696,4299,2250,2030,6471,9872,"unexp",627,3401,7842
2009,1,2677,4102,2023,1854,6228,9347,"unexp",545,3119,7493
2010,1,2355,3780,1896,1804,5780,8571,"unexp",540,2791,6767
2011,1,2260,3750,1762,1694,5607,8311,"unexp",539,2704,6617
2012,1,2215,3616,1772,1651,5573,8177,"unexp",574,2604,6526
2013,1,2116,3634,1703,1571,5474,8005,"unexp",552,2531,6434
2014,1,2078,3473,1753,1551,5462,7851,"unexp",547,2389,6300
2015,1,2187,3481,1789,1641,5503,8057,"unexp",600,2554,6416
2016,1,2161,3390,1680,1607,5304,7806,"unexp",575,2502,6199
2017,1,2204,3135,1723,1428,5133,7584,"unexp",522,2451,6156
2018,1,1961,3182,1628,1517,4961,7309,"unexp",538,2348,5792
2019,1,2010,3069,1591,1471,4805,7186,"unexp",516,2381,5715
2020,1,2003,2850,1546,1328,4613,6837,"unexp",438,2224,5509
2021,1,1744,2571,1526,1285,4396,6513,"unexp",672,2117,5228
2022,1,1770,2549,1620,1249,4405,6664,"unexp",725,2259,5415
2023,1,1621,2549,1753,1290,4381,6657,"unexp",734,2276,5367
1999,2,2954,4739,1621,2000,6887,9944,"unexp",630,3057,7944
2000,2,2783,4750,1718,2030,6754,9855,"unexp",604,3101,7825
2001,2,2698,4694,1777,1967,6610,9693,"unexp",524,3083,7726
2002,2,2651,4637,1845,1951,6640,9703,"unexp",570,3063,7752
2003,2,2703,4592,1963,1980,6761,9842,"unexp",584,3081,7862
2004,2,2785,4545,2037,1961,6732,9892,"unexp",525,3160,7931
2005,2,2787,4482,2067,1865,6779,9877,"unexp",541,3098,8012
2006,2,2771,4489,2189,2060,6812,9974,"unexp",525,3162,7914
2007,2,2876,4365,2332,2037,6792,10153,"unexp",580,3361,8116
2008,2,2657,4153,2134,1913,6415,9555,"unexp",611,3140,7642
2009,2,2522,3874,1964,1823,6009,8938,"unexp",578,2929,7115
2010,2,2323,3692,1890,1741,5847,8458,"unexp",553,2611,6717
2011,2,2292,3786,1782,1797,5799,8415,"unexp",555,2616,6618
2012,2,2230,3548,1753,1712,5607,8117,"unexp",586,2510,6405
2013,2,2224,3572,1705,1627,5608,8034,"unexp",533,2426,6407
2014,2,2136,3533,1639,1581,5447,7869,"unexp",561,2422,6288
2015,2,2159,3495,1635,1597,5426,7879,"unexp",590,2453,6282
2016,2,2181,3322,1750,1590,5270,7815,"unexp",562,2545,6225
2017,2,2101,3141,1700,1571,5123,7552,"unexp",610,2429,5981
2018,2,2086,3097,1601,1501,4980,7353,"unexp",569,2373,5852
2019,2,2008,2829,1686,1413,4691,7017,"unexp",494,2326,5604
2020,2,1874,2701,1466,1340,4302,6447,"unexp",406,2145,5107
2021,2,1889,2645,1648,1355,4508,6956,"unexp",774,2448,5601
2022,2,1863,2686,1735,1312,4631,7053,"unexp",769,2422,5741
2023,2,1720,2494,1757,1289,4474,6686,"unexp",715,2212,5397
