,state,year,bacode,births_nhblack,births_nhwhite,births_hisp,births_total,births_otherraceeth,dobbscodev1,dobbscodev2,dobbscodev3,dobbscode_sensitivity,dobbscode_sensitivity_tx,deaths_nhblack,deaths_nhwhite,deaths_hisp,deaths_otherraceeth,deaths_con,deaths_noncon,deaths_neo,deaths_total,exposed_infdeaths,time,deaths_nonneo,births_con,births_noncon,births_neo,births_nonneo,partial_ban,quarter,exposure_code,births_other
26,Alabama,2012,1,8579.0,17143.0,1909.0,28207.0,576.0,1.0,1.0,1.0,1.0,,139.0,120.0,,0.0,48.0,218.0,162.0,266.0,0,2012-01-01,104.0,28207.0,28207.0,28207.0,28207.0,0,2012-Q1,0,576.0
27,Alabama,2012,2,9517.0,18019.0,2016.0,30241.0,689.0,1.0,1.0,1.0,1.0,,124.0,118.0,13.0,,49.0,208.0,178.0,257.0,0,2012-07-01,79.0,30241.0,30241.0,30241.0,30241.0,0,2012-Q3,0,689.0
28,Alabama,2013,1,8493.0,16767.0,1907.0,27700.0,533.0,1.0,1.0,1.0,1.0,,103.0,128.0,12.0,,34.0,212.0,168.0,246.0,0,2013-01-01,78.0,27700.0,27700.0,27700.0,27700.0,0,2013-Q1,0,533.0
29,Alabama,2013,2,9413.0,18319.0,2095.0,30467.0,640.0,1.0,1.0,1.0,1.0,,124.0,115.0,15.0,0.0,44.0,211.0,154.0,255.0,0,2013-07-01,101.0,30467.0,30467.0,30467.0,30467.0,0,2013-Q3,0,640.0
30,Alabama,2014,1,8528.0,17413.0,1916.0,28445.0,588.0,1.0,1.0,1.0,1.0,,117.0,101.0,17.0,,50.0,187.0,135.0,237.0,0,2014-01-01,102.0,28445.0,28445.0,28445.0,28445.0,0,2014-Q1,0,588.0
31,Alabama,2014,2,9702.0,18516.0,2103.0,30977.0,656.0,1.0,1.0,1.0,1.0,,150.0,113.0,10.0,,45.0,234.0,171.0,279.0,0,2014-07-01,108.0,30977.0,30977.0,30977.0,30977.0,0,2014-Q3,0,656.0
32,Alabama,2015,1,8663.0,17333.0,2088.0,28680.0,596.0,1.0,1.0,1.0,1.0,,124.0,80.0,,,37.0,178.0,122.0,215.0,0,2015-01-01,93.0,28680.0,28680.0,28680.0,28680.0,0,2015-Q1,0,596.0
33,Alabama,2015,2,9598.0,18493.0,2207.0,30977.0,679.0,1.0,1.0,1.0,1.0,,154.0,105.0,18.0,,49.0,231.0,179.0,280.0,0,2015-07-01,101.0,30977.0,30977.0,30977.0,30977.0,0,2015-Q3,0,679.0
34,Alabama,2016,1,8428.0,17186.0,2192.0,28724.0,918.0,1.0,1.0,1.0,1.0,,138.0,121.0,14.0,,38.0,241.0,162.0,279.0,0,2016-01-01,117.0,28724.0,28724.0,28724.0,28724.0,0,2016-Q1,0,918.0
35,Alabama,2016,2,9267.0,17713.0,2388.0,30427.0,1059.0,1.0,1.0,1.0,1.0,,131.0,105.0,19.0,,54.0,204.0,162.0,258.0,0,2016-07-01,96.0,30427.0,30427.0,30427.0,30427.0,0,2016-Q3,0,1059.0
36,Alabama,2017,1,8396.0,16663.0,2184.0,28212.0,969.0,1.0,1.0,1.0,1.0,,106.0,103.0,11.0,,46.0,179.0,123.0,225.0,0,2017-01-01,102.0,28212.0,28212.0,28212.0,28212.0,0,2017-Q1,0,969.0
37,Alabama,2017,2,9567.0,17714.0,2362.0,30729.0,1086.0,1.0,1.0,1.0,1.0,,99.0,93.0,11.0,,45.0,164.0,133.0,209.0,0,2017-07-01,76.0,30729.0,30729.0,30729.0,30729.0,0,2017-Q3,0,1086.0
38,Alabama,2018,1,8447.0,16394.0,2139.0,27951.0,971.0,1.0,1.0,1.0,1.0,,97.0,84.0,,,34.0,165.0,120.0,199.0,0,2018-01-01,79.0,27951.0,27951.0,27951.0,27951.0,0,2018-Q1,0,971.0
39,Alabama,2018,2,9150.0,17382.0,2264.0,29810.0,1014.0,1.0,1.0,1.0,1.0,,99.0,98.0,,,47.0,159.0,132.0,206.0,0,2018-07-01,74.0,29810.0,29810.0,29810.0,29810.0,0,2018-Q3,0,1014.0
40,Alabama,2019,1,8503.0,16069.0,2204.0,27778.0,1002.0,1.0,1.0,1.0,1.0,,106.0,84.0,20.0,,35.0,179.0,103.0,214.0,0,2019-01-01,111.0,27778.0,27778.0,27778.0,27778.0,0,2019-Q1,0,1002.0
41,Alabama,2019,2,9694.0,17325.0,2706.0,30837.0,1112.0,1.0,1.0,1.0,1.0,,115.0,102.0,16.0,0.0,54.0,181.0,140.0,235.0,0,2019-07-01,95.0,30837.0,30837.0,30837.0,30837.0,0,2019-Q3,0,1112.0
42,Alabama,2020,1,8648.0,15986.0,2481.0,28055.0,940.0,1.0,1.0,1.0,1.0,,106.0,72.0,18.0,,29.0,172.0,117.0,201.0,0,2020-01-01,84.0,28055.0,28055.0,28055.0,28055.0,0,2020-Q1,0,940.0
43,Alabama,2020,2,9098.0,16686.0,2752.0,29592.0,1056.0,1.0,1.0,1.0,1.0,,91.0,87.0,20.0,,35.0,168.0,107.0,203.0,0,2020-07-01,96.0,29592.0,29592.0,29592.0,29592.0,0,2020-Q3,0,1056.0
44,Alabama,2021,1,7840.0,16237.0,2574.0,27655.0,1004.0,1.0,1.0,1.0,1.0,,90.0,93.0,17.0,12.0,30.0,183.0,108.0,213.0,0,2021-01-01,105.0,27655.0,27655.0,27655.0,27655.0,0,2021-Q1,0,1004.0
45,Alabama,2021,2,8671.0,17538.0,3074.0,30399.0,1116.0,1.0,1.0,1.0,1.0,,101.0,102.0,13.0,12.0,39.0,192.0,124.0,231.0,0,2021-07-01,107.0,30399.0,30399.0,30399.0,30399.0,0,2021-Q3,0,1116.0
46,Alabama,2022,1,7695.0,16123.0,2897.0,27750.0,1035.0,1.0,1.0,1.0,1.0,,103.0,65.0,12.0,,22.0,162.0,104.0,184.0,0,2022-01-01,80.0,27750.0,27750.0,27750.0,27750.0,0,2022-Q1,0,1035.0
47,Alabama,2022,2,8372.0,17602.0,3334.0,30399.0,1091.0,1.0,1.0,1.0,1.0,,98.0,79.0,16.0,,49.0,153.0,100.0,202.0,0,2022-07-01,102.0,30399.0,30399.0,30399.0,30399.0,0,2022-Q3,0,1091.0
48,Alabama,2023,1,7667.0,16233.0,3223.0,28154.0,1031.0,1.0,1.0,1.0,1.0,,99.0,93.0,17.0,10.0,45.0,180.0,140.0,225.0,1,2023-01-01,85.0,28154.0,28154.0,28154.0,28154.0,0,2023-Q1,1,1031.0
